"Open Houses","Photo","MLS","AR","Type","S","Address","City","BR","Baths(FTHQ)","SqFt","LP $/SqFt","LP","SP","HOD","Lot Sz","YB","DOM"
"","","COMP25143554","12","C/C","S","13234   FIJI WAY #B","MARINA DEL REY","2","2.00 (2 0 0 0)","1,582","$647.91","$1,025,000","$1,025,000","","64,241","1969","0"
"","","COMP25144009","12","C/C","S","30   DRIFTWOOD ST #7","MARINA DEL REY","2","2.00 (2 0 0 0)","1,392","$912.36","$1,270,000","$1,270,000","","6,953","1973","0"
"","","COMP25144539","12","C/C","S","13650   MARINA POINTE DR #1603","MARINA DEL REY","2","3.00 (3 0 0 0)","1,698","$853.95","$1,450,000","$1,450,000","","31,659","2006","0"
"","1","CV23084315MR","12","C/C","S","13214   Fiji WAY #R","MARINA DEL REY","2","3.00 (2 0 1 0)","1,582","$726.93","$1,150,000","$1,277,500","$590.00","139,313","1969","13"
"","25","CV24254340MR","12","C/C","S","13237   Fiji WAY #B","MARINA DEL REY","2","3.00 (2 0 1 0)","1,582","$702.28","$1,111,000","$1,130,000","$500.00","66,640","1970","18"
"","39","DW24028729MR","12","C/C","S","13206   Admiral AVE #F","MARINA DEL REY","2","3.00 (2 0 1 0)","1,657","$766.45","$1,270,000","$1,270,000","$700.00","83,595","1968","44"
"","31","GD24002664IT","12","C/C","S","3988   Beethoven ST ","LOS ANGELES","2","2.00 (2 0 0 0)","1,185","$505.49","$599,000","$725,000","$499.00","10,352","1982","5"
"","1","GD24237667IT","12","C/C","S","4604   Glencoe AVE #7","MARINA DEL REY","3","3.00 (3 0 0 0)","1,707","$761.57","$1,300,000","$1,275,000","$805.00","159,309","1978","13"
"","1","HD24048532MR","12","C/C","S","4345   Alla RD #2","MARINA DEL REY","3","3.00 (1 2 0 0)","1,547","$775.69","$1,199,999","$1,072,500","$699.00","390,168","1975","72"
"","49","IV23077456MR","12","C/C","S","310   Washington BLVD #801","MARINA DEL REY","3","3.00 (3 0 0 0)","1,960","$994.90","$1,950,000","$1,885,000","$675.00","28,509","2012","22"
"","1","IV24022544MR","12","C/C","S","4060   Glencoe AVE #205","MARINA DEL REY","2","2.00 (2 0 0 0)","970","$687.01","$666,400","$625,000","$562.00","59,341","2004","259"
"","47","IV24108886MR","12","C/C","S","4338   Redwood AVE #B301","MARINA DEL REY","2","2.00 (2 0 0 0)","2,267","$608.29","$1,379,000","$1,225,000","$1,128.00","259,551","1981","54"
"","60","NP24113929MR","12","C/C","S","13310   Maxella AVE #9","MARINA DEL REY","3","3.00 (3 0 0 0)","1,547","$837.10","$1,295,000","$1,402,000","$590.00","552,201","1974","12"
"","31","OC23144784MR","12","C/C","S","20   Catamaran ST #103","MARINA DEL REY","2","2.00 (2 0 0 0)","1,243","$1,045.05","$1,299,000","$1,233,800","$550.00","8,738","1985","64"
"","55","OC24008316MR","12","C/C","S","3716   Via Dolce  ","MARINA DEL REY","3","3.00 (2 0 1 0)","1,714","$1,049.59","$1,799,000","$1,875,000","$585.00","","1978","65"
"","25","OC24048858MR","12","C/C","S","4316   Marina City Drive #333","MARINA DEL REY","3","2.00 (2 0 0 0)","1,722","$374.56","$645,000","$625,000","$1,600.00","","1972","79"
"","31","OC24127836MR","12","C/C","S","4060   Glencoe AVE #331","MARINA DEL REY","3","3.00 (3 0 0 0)","1,360","$808.09","$1,099,000","$1,130,000","$581.00","59,478","2004","10"
"","27","OC24146566MR","12","C/C","S","13044   Mindanao WAY #3","MARINA DEL REY","2","3.00 (3 0 0 0)","1,646","$683.48","$1,125,000","$1,050,000","$805.00","130,721","1977","60"
"","1","OC25101359MR","12","C/C","S","13044   Mindanao WAY #3","MARINA DEL REY","2","3.00 (3 0 0 0)","1,646","$850.49","$1,399,900","$1,350,000","$966.00","130,721","1977","22"
"","69","PF23049788PF","12","C/C","S","4316 233 CTN  Marina City DR ","MARINA DEL REY","3","2.00 (2 0 0 0)","1,722","$435.54","$749,999","$729,999","$1,601.00","","1972","195"
"","30","PF24193641PF","12","C/C","S","4140   Glencoe AVE #509","MARINA DEL REY","2","3.00 (1 1 1 0)","1,460","$839.04","$1,225,000","$1,200,000","$733.00","39,485","2016","27"
"","27","PTP2403393MR","12","C/C","S","13050   Mindanao WAY #1","MARINA DEL REY","2","2.00 (2 0 0 0)","1,153","$857.76","$989,000","$1,007,000","$805.00","130,680","1977","14"
"","28","PV23120618MR","12","C/C","S","4360   Glencoe AVE #3","MARINA DEL REY","2","3.00 (3 0 0 0)","1,544","$825.78","$1,275,000","$1,300,000","$580.00","552,048","1974","21"
"","39","PV23142861MR","12","C/C","S","4634   Glencoe  #1","MARINA DEL REY","2","3.00 (1 1 1 0)","1,646","$819.56","$1,349,000","$1,343,000","$696.00","196,085","1977","12"
"","37","PV23158509MR","12","C/C","S","5000  S Centinela AVE #242","LOS ANGELES","1","1.00 (1 0 0 0)","778","$636.25","$495,000","$505,000","$397.00","142,789","1970","25"
