"Open Houses","Photo","MLS","AR","Type","S","Address","City","BR","Baths(FTHQ)","SqFt","LP $/SqFt","LP","SP","HOD","Lot Sz","YB","DOM"
"","32","23-247950","12","C/C","S","4314   Marina City DR #920","MARINA DEL REY","2","2.00 (1 1 0 0)","1,422","$527.43","$750,000","$750,000","$1,323.37","","1972","19"
"","33","23-248897","12","C/C","S","13206   Admiral Ave #H","Marina Del Rey","3","3.00 (2 0 1 0)","1,657","$784.55","$1,300,000","$1,255,000","$639.00","83,571","1968","52"
"","43","23-249315","12","C/C","S","13600   Marina Pointe DR #1905","MARINA DEL REY","2","3.00 (2 0 1 0)","1,900","$867.89","$1,649,000","$1,600,000","$1,981.54","122,916","1999","40"
"","2","23-249597","12","C/C","S","13600   Marina Pointe Dr #1615","Marina Del Rey","2","3.00 (2 0 1 0)","2,295","$849.67","$1,950,000","$1,900,000","$1,945.00","122,880","1999","43"
"","22","23-249912","12","C/C","S","4729   La Villa Marina  #C","Marina Del Rey","2","3.00 (1 1 1 0)","1,456","$820.74","$1,195,000","$1,213,000","$485.00","73,858","1966","9"
"","61","23-250249","12","C/C","S","13650   Marina Pointe Dr #1607","Marina Del Rey","2","2.00 (2 0 0 0)","1,901","$881.12","$1,675,000","$1,635,000","$1,939.11","31,650","2006","40"
"","48","23-251067","12","C/C","S","13600   Marina Pointe Dr #1601","Venice","2","3.00 (3 0 0 0)","1,945","$989.72","$1,925,000","$1,975,000","$1,991.74","122,880","1999","23"
"","2","23-251139","12","C/C","S","33   Privateer St #3","Marina Del Rey","2","3.00 (2 0 1 0)","1,597","$1,061.37","$1,695,000","$1,615,000","$420.00","4,793","1969","38"
"","38","23-253339","12","C/C","S","4501   Alla Rd #1","Marina Del Rey","2","3.00 (2 0 1 0)","1,646","$789.19","$1,299,000","$1,375,000","$696.00","159,265","1978","8"
"","24","23-254295","12","C/C","S","16   Quarterdeck St #102","Marina Del Rey","2","2.00 (2 0 0 0)","1,461","$957.56","$1,399,000","$1,399,000","$417.60","6,104","1972","53"
"","25","23-254687","12","C/C","S","4050   Glencoe Ave #325","Marina Del Rey","1","2.00 (1 0 1 0)","880","$897.73","$790,000","$800,000","$471.45","59,223","2007","36"
"","27","23-254689","12","C/C","S","4140   Glencoe Ave #312","Marina Del Rey","2","2.00 (1 1 0 0)","1,205","$828.22","$998,000","$1,028,000","$628.00","39,473","2016","8"
"","45","23-256165","12","C/C","S","4337   Marina City Dr #949","Marina Del Rey","3","2.00 (1 1 0 0)","","$0","$690,000","$650,000","$1,601.15","1,870","","69"
"","31","23-256615","12","C/C","S","4314   Marina City DR #616","MARINA DEL REY","3","2.00 (1 1 0 0)","1,722","$505.81","$871,000","$857,000","$1,601.15","","1972","15"
"","1","23-256947","12","C/C","S","100   Driftwood St #11","Marina Del Rey","1","2.00 (2 0 0 0)","950","$1,065.79","$1,012,500","$1,012,500","$450.00","8,680","1969","0"
"","23","23-257725","12","C/C","S","4080   Glencoe Ave #403","Marina Del Rey","2","2.00 (2 0 0 0)","1,260","$869.05","$1,095,000","$1,250,000","$582.64","11,526","2011","10"
"","28","23-258919","12","C/C","S","4267   Marina City Dr #608","Marina Del Rey","1","1.00 (1 0 0 0)","935","$668.45","$625,000","$640,000","$870.26","","1972","20"
"","1","23-259303","12","C/C","S","4115   Glencoe Ave #206","Marina Del Rey","2","2.00 (2 0 0 0)","1,250","$719.20","$899,000","$899,000","$600.00","39,560","2006","17"
"","1","23-259371","12","C/C","S","4800   La Villa Marina  #F","Marina Del Rey","2","3.00 (2 0 1 0)","1,582","$738.94","$1,169,000","$1,169,000","$350.00","71,647","1968","3"
"","1","23-259711","12","C/C","S","4631   Alla Rd #4","Marina Del Rey","2","3.00 (2 0 1 0)","1,912","$611.40","$1,169,000","$1,150,000","$696.00","196,085","1977","18"
"","31","23-260881","12","C/C","S","4735   La Villa Marina  #B","Marina Del Rey","2","3.00 (2 0 1 0)","1,582","$755.37","$1,195,000","$1,175,000","$528.00","85,032","1966","37"
"","1","23-262033","12","C/C","S","4720   La Villa Marina  #H","Marina Del Rey","3","3.00 (2 0 1 0)","1,582","$884.32","$1,399,000","$1,410,000","$475.00","66,564","1966","5"
"","45","23-262551","12","C/C","S","4316   Marina City Dr  #623","Marina Del Rey","1","1.00 (1 0 0 0)","935","$533.69","$499,000","$495,000","$870.76","","","28"
